"title","billNo","parliament","mpInCharge","committee","billUrl","readBillUrl","viewWholeUrl","fullTextPath","summarySnippet","error"
"Hauraki Gulf / Tīkapa Moana Marine Protection Bill","282-3","53","Hon Tama Potaka","Environment","https://bills.parliament.nz/v/6/78ff85f3-7991-4963-60b2-08dba2a4022f","https://legislation.govt.nz/bill/government/2023/0282/latest/versions.aspx?search=ta_bill%40bill_H_bc%40bcur_an%40bn%40rn_25_a&p=1","https://legislation.govt.nz/bill/government/2023/0282/latest/whole.html?search=ta_bill%40bill_H_bc%40bcur_an%40bn%40rn_25_a&p=1","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/282-3.txt","« Back to browse results Hauraki Gulf / Tīkapa Moana Marine Protection Bill enacted Search within this Bill By clauses View whole (419KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [21.6MB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Hauraki Gulf / Tīkapa Moana Marine Protection Bill Government Bill 282—3 As reported from the commi",
"Broadcasting (Repeal of Advertising Restrictions) Amendment Bill","111-1","54","Hon Paul Goldsmith","Economic Development, Science and Innovation","https://bills.parliament.nz/v/6/72989fd8-09e8-4b89-5e08-08dd18a12bfb","https://www.legislation.govt.nz/bill/government/2024/0111/latest/versions.aspx?search=ta_bill%40bill_B_bc%40bcur_an%40bn%40rn_25_a&p=1","https://www.legislation.govt.nz/bill/government/2024/0111/latest/whole.html?search=ta_bill%40bill_B_bc%40bcur_an%40bn%40rn_25_a&p=1","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/111-1.txt","« Back to browse results Broadcasting (Repeal of Advertising Restrictions) Amendment Bill Search within this Bill By clauses View whole (7KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [109KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Broadcasting (Repeal of Advertising Restrictions) Amendment Bill Government Bill 111—1 Explanato",
"Marine and Coastal Area (Takutai Moana) (Customary Marine Title) Amendment Bill","83-2","54","Hon Paul Goldsmith","Justice","https://bills.parliament.nz/v/6/7ae312de-afee-40a8-8be3-08dcdc4c6a57","https://www.legislation.govt.nz/bill/government/2024/0083/latest/versions.aspx?","https://www.legislation.govt.nz/bill/government/2024/0083/latest/whole.html","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/83-2.txt","Marine and Coastal Area (Takutai Moana) (Customary Marine Title) Amendment Bill Search within this Bill By clauses View whole (100KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [210KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Marine and Coastal Area (Takutai Moana) (Customary Marine Title) Amendment Bill Government Bill 83—2 As ",
"Parliament Bill","71-2","54","Hon Chris Bishop","Parliament Bill","https://bills.parliament.nz/v/6/7171082d-34ae-4979-0605-08dccd28b5ec","https://www.legislation.govt.nz/bill/government/2024/0071/latest/LMS803780.html?search=y_bill%40bill_2024__bc%40bcur_an%40bn%40rn_25_y&p=1","https://www.legislation.govt.nz/bill/government/2024/0071/latest/whole.html?search=y_bill%40bill_2024__bc%40bcur_an%40bn%40rn_25_y&p=1#LMS803780","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/71-2.txt","« Back to browse results Parliament Bill Search within this Bill By clauses View whole (1.1MB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [986KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Parliament Bill Government Bill 71—2 As reported from the Parliament Bill Committee Commentary Recommendation The Parliament Bill Committee has",
"Responding to Abuse in Care Legislation Amendment Bill","97-3","54","Hon Erica Stanford","Social Services and Community","https://bills.parliament.nz/v/6/c31bf16c-eebd-4f60-8bcf-08dd029d2b58","https://www.legislation.govt.nz/bill/government/2024/0097/latest/whole.html#LMS1005886","https://www.legislation.govt.nz/bill/government/2024/0097/latest/whole.html#whole","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/97-3.txt","Responding to Abuse in Care Legislation Amendment Bill Search within this Bill By clauses View whole (133KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [226KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Responding to Abuse in Care Legislation Amendment Bill Government Bill 97—3 As reported from the committee of the whole House Key",
"Companies (Address Information) Amendment Bill","18-3","54","Hon Dr Deborah Russell","Economic Development, Science and Innovation","https://bills.parliament.nz/v/6/26ef5add-3727-4b60-408f-08dc2dc25b35","https://www.legislation.govt.nz/bill/member/2024/0018/latest/LMS937461.html?search=y_bill%40bill_2024__bc%40bcur_an%40bn%40rn_25_a&p=1","https://www.legislation.govt.nz/bill/member/2024/0018/latest/whole.html?search=y_bill%40bill_2024__bc%40bcur_an%40bn%40rn_25_a&p=1#LMS937461","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/18-3.txt","« Back to browse results Companies (Address Information) Amendment Bill Search within this Bill By clauses View whole (87KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [162KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Companies (Address Information) Amendment Bill Member’s Bill 18—2 As reported from the Economic Development, Scie",
"Auckland Council (Auckland Future Fund) Bill","118-1","54","Dr Carlos Cheung","Governance and Administration","https://bills.parliament.nz/v/6/f4087ab2-eb3f-40e2-8899-08dd3f2830a1","https://www.legislation.govt.nz/bill/local/2025/0118/latest/versions.aspx?","https://www.legislation.govt.nz/bill/local/2025/0118/latest/whole.html","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/118-1.txt","Auckland Council (Auckland Future Fund) Bill Search within this Bill By clauses View whole (26KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [132KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Auckland Council (Auckland Future Fund) Bill Local Bill 118—1 Explanatory note General policy statement The governing body of the Auckland C",
"Building and Construction (Small Stand-alone Dwellings) Amendment Bill","166-2","54","Hon Chris Penk","Transport and Infrastructure","https://bills.parliament.nz/v/6/eebf1e27-e084-4cd3-fed9-08dd98c831fd","https://legislation.govt.nz/bill/government/2025/0166/latest/LMS1442172.html","https://legislation.govt.nz/bill/government/2025/0166/latest/whole.html#LMS1442172","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/166-2.txt","Building and Construction (Small Stand-alone Dwellings) Amendment Bill Search within this Bill By clauses View whole (174KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [262KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Building and Construction (Small Stand-alone Dwellings) Amendment Bill Government Bill 166—2 As reported from the",
"Education and Training (Vocational Education and Training System) Amendment Bill","150-2","54","Hon Penny Simmonds","Education and Workforce","https://bills.parliament.nz/v/6/b77b918f-a44d-4519-68fa-08dd90f2ab46","https://www.legislation.govt.nz/bill/government/2025/0150/latest/versions.aspx","https://www.legislation.govt.nz/bill/government/2025/0150/latest/whole.html","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/150-2.txt","Education and Training (Vocational Education and Training System) Amendment Bill Search within this Bill By clauses View whole (531KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [560KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Education and Training (Vocational Education and Training System) Amendment Bill Government Bill 150—2 ",
"Animal Welfare (Regulations for Management of Pigs) Amendment Bill","207-1","54","Hon Andrew Hoggard","Primary Production","https://bills.parliament.nz/v/6/648fdd9d-9331-43b1-c811-08de009746d1","https://www.legislation.govt.nz/bill/government/2025/0207/14.0/contents.html","https://www.legislation.govt.nz/bill/government/2025/0207/14.0/whole.html#LMS1523216","/Users/tempearse/Desktop/personal-Project/Bill-scraper/Bill-tracker/fulltext/207-1.txt","Animal Welfare (Regulations for Management of Pigs) Amendment Bill Search within this Bill By clauses View whole (53KB) Versions and APs Add to web feed Order a commercial print Print/Download PDF [170KB] Contents Previous clause Next clause Tag clause Remove Previous hit Next hit Animal Welfare (Regulations for Management of Pigs) Amendment Bill Government Bill 207—1 Explanatory note General poli",
